model_id,body,segment,note
bestune/b70s,suv,SUV-C,listed as sedan by price sites; it is an SUV
bestune/t55,suv,SUV-C,listed as sedan; it is an SUV
byd/m9,mpv,MPV-C,MPV
dongfeng/007,sedan,Car-D,registration segment says SUV; it is a sedan
dongfeng/mage,suv,SUV-C,registration segment says small car; it is an SUV
exeed/lx,suv,SUV-C,listed as sedan; it is an SUV
forthing/s7,sedan,Car-D,listed as SUV; it is a sedan
forthing/u-tour,mpv,MPV-C,MPV
kia/ev6,suv,SUV-C,crossover
mg/g50-plus,mpv,MPV-C,MPV
xiaomi/yu7,suv,Luxury SUV-3,registration segment says car; it is an SUV
xpeng/m03,sedan,Car-D,listed as SUV and luxury; it is a mid-size sedan
im/im-6,suv,Luxury SUV-4,listed as sedan; it is an SUV
mini/countryman,suv,Luxury SUV-2,SUV
volvo/ex30,suv,SUV-B,small SUV
renault/kardian,suv,SUV-B,small crossover
voyah/dream,mpv,Luxury MPV,MPV
kaiyi/e5,sedan,Car-B,sedan
