brand_id,display,origin,chinese,ar_names
toyota,Toyota,Japan,0,تويوتا
nissan,Nissan,Japan,0,نيسان
mitsubishi,Mitsubishi,Japan,0,ميتسوبيشي|متسوبيشي
suzuki,Suzuki,Japan,0,سوزوكي
honda,Honda,Japan,0,هوندا
mazda,Mazda,Japan,0,مازدا
subaru,Subaru,Japan,0,سوبارو
lexus,Lexus,Japan,0,لكزس
isuzu,Isuzu,Japan,0,ايسوزو|إيسوزو
hyundai,Hyundai,South Korea,0,هيونداي|هيونداى
kia,Kia,South Korea,0,كيا
kgm,KGM,South Korea,0,كي جي ام|سانج يونج
genesis,Genesis,South Korea,0,جينيسيس
mercedes,Mercedes-Benz,Germany,0,مرسيدس|مرسيدس بنز
bmw,BMW,Germany,0,بي ام دبليو|بي إم دبليو|بى ام
audi,Audi,Germany,0,أودي|اودي
volkswagen,Volkswagen,Germany,0,فولكس|فولكسفاجن|فولكس فاجن
porsche,Porsche,Germany,0,بورش
opel,Opel,Germany,0,أوبل|اوبل
peugeot,Peugeot,France,0,بيجو
citroen,Citroën,France,0,ستروين|سيتروين
renault,Renault,France,0,رينو
ds,DS,France,0,دي اس
skoda,Skoda,Czech Republic,0,سكودا
seat,SEAT,Spain,0,سيات
cupra,CUPRA,Spain,0,كوبرا
fiat,Fiat,Italy,0,فيات
alfa-romeo,Alfa Romeo,Italy,0,ألفا روميو|الفا روميو
maserati,Maserati,Italy,0,مازيراتي
volvo,Volvo,Sweden,0,فولفو
land-rover,Land Rover,United Kingdom,0,لاند روفر
range-rover,Range Rover,United Kingdom,0,رينج روفر
jaguar,Jaguar,United Kingdom,0,جاجوار
mini,MINI,United Kingdom,0,ميني
lotus,Lotus,United Kingdom,0,لوتس
rolls-royce,Rolls-Royce,United Kingdom,0,رولز رويس
chevrolet,Chevrolet,United States,0,شيفروليه|شيفرولية
jeep,Jeep,United States,0,جيب
ford,Ford,United States,0,فورد
gmc,GMC,United States,0,جي ام سي
dodge,Dodge,United States,0,دودج
cadillac,Cadillac,United States,0,كاديلاك
tesla,Tesla,United States,0,تيسلا
hummer,Hummer,United States,0,هامر
proton,Proton,Malaysia,0,بروتون
mg,MG,China,1,ام جي|إم جي
chery,Chery,China,1,شيري
geely,Geely,China,1,جيلي
haval,Haval,China,1,هافال
byd,BYD,China,1,بي واي دي|بى واى دى
jetour,Jetour,China,1,جيتور
changan,Changan,China,1,شانجان
exeed,Exeed,China,1,اكسيد|إكسيد
hongqi,Hongqi,China,1,هونشي|هونجشي
soueast,Soueast,China,1,سوايست|ساوايست
baic,BAIC,China,1,بايك
dongfeng,Dongfeng,China,1,دونج فينج|دونغ فنغ
dongfeng-aeolus,Dongfeng Aeolus,China,1,
jac,JAC,China,1,جاك
gac,GAC,China,1,جي ايه سي
arcfox,Arcfox,China,1,
avatr,Avatr,China,1,افاتار
deepal,Deepal,China,1,ديبال
icaur,iCAUR,China,1,
kaiyi,Kaiyi,China,1,كايي
forthing,Forthing,China,1,فورثينج
bestune,Bestune,China,1,بستيون
zeekr,Zeekr,China,1,زيكر
lynk-co,Lynk & Co,China,1,لينك
omoda,Omoda,China,1,أومودا|اومودا
jaecoo,Jaecoo,China,1,جايكو
voyah,Voyah,China,1,
xpeng,XPeng,China,1,
rox,ROX,China,1,
aito,AITO,China,1,
im,IM,China,1,
li-auto,Li Auto,China,1,
xiaomi,Xiaomi,China,1,شاومي
dfsk,DFSK,China,1,
baw,BAW,China,1,
jmc,JMC,China,1,
kyc,KYC,China,1,
rely,Rely,China,1,
shineray,Shineray,China,1,
speranza,Speranza,Egypt (Chery-based),1,سبرانزا
