model_id,ar_names
toyota/corolla,كورولا|كرولا
toyota/fortuner,فورتشنر|فورشنر
toyota/urban-cruiser,أوربان كروزر|اوربان كروزر
toyota/bz4x,
nissan/qashqai,قشقاي|كاشكاي
nissan/x-trail,إكس تريل|اكس تريل
nissan/sunny,صني
nissan/sentra,سنترا
nissan/juke,جوك
nissan/magnite,ماجنايت|ماجنيت
hyundai/tucson,توسان|توسون
hyundai/elantra,النترا|إلنترا|ألنترا
hyundai/santa-fe,سانتافي|سانتا في
hyundai/venue,فينيو
hyundai/accent-rb,أكسنت|اكسنت
kia/sportage,سبورتاج|اسبورتاج
kia/seltos,سيلتوس
kia/sorento,سورينتو
kia/k4,كي 4|كي٤
kia/k3,كي 3|سيراتو
kia/carnival,كرنفال|كارنيفال
chery/tiggo-7-pro,تيجو 7 برو|تيجو ٧ برو
chery/tiggo-7,تيجو 7|تيجو ٧
chery/tiggo-8-pro-max,تيجو 8 برو ماكس|تيجو ٨ برو ماكس
chery/tiggo-8-pro,تيجو 8 برو|تيجو ٨ برو
chery/tiggo-8,تيجو 8|تيجو ٨
chery/tiggo-4-pro,تيجو 4|تيجو ٤
chery/tiggo-9,تيجو 9|تيجو ٩
chery/arrizo-5,أريزو 5|اريزو 5|اريزو ٥
chery/arrizo-8,أريزو 8|اريزو 8
geely/cool-ray,كولراي|كول راي
geely/emgrand,إمجراند|امجراند
geely/okavango,أوكافانجو|اوكافانجو
geely/monjaro,مونجارو
geely/starray,ستاراي
mg/zs,زد اس|زد إس
mg/hs,اتش اس|إتش إس
mg/rx5,ار اكس 5|آر إكس 5
mg/rx9,ار اكس 9|آر إكس 9
mg/5,ام جي 5|إم جي 5
mg/7,ام جي 7
haval/h6,اتش 6|اتش٦|H6
haval/jolion,جوليون
haval/h7,اتش 7
jetour/x70,اكس 70|إكس 70
jetour/x70-plus-ckd,اكس 70 بلس|إكس 70 بلس
jetour/t2,تي 2|T2
peugeot/2008,2008
peugeot/3008,3008
peugeot/5008,5008
peugeot/408,408
renault/duster,داستر
renault/megane,ميجان
renault/austral,أوسترال|اوسترال
renault/kardian,كارديان
renault/taliant,تاليانت
skoda/octavia,أوكتافيا|اوكتافيا
skoda/kodiaq,كودياك
skoda/karoq,كاروك
volkswagen/tiguan,تيجوان
volkswagen/golf,جولف
volkswagen/t-roc,تي روك
opel/grandland,جراند لاند|جراندلاند
opel/frontera,فرونتيرا
opel/mokka,موكا
citroen/c4,سي 4
citroen/c5-aircross,سي 5 إيركروس|سي 5 اير كروس
suzuki/swift,سويفت
suzuki/swift-dzire,ديزاير
suzuki/ertiga,ارتيجا|إرتيجا
mitsubishi/eclipse-cross,إكليبس كروس|اكليبس
mitsubishi/outlander,أوتلاندر|اوتلاندر
mitsubishi/xpander,اكسباندر|إكسباندر
mercedes/c-class,سي كلاس|C كلاس
mercedes/e-class,إي كلاس|اي كلاس
mercedes/glc,جي ال سي|GLC
mercedes/gle,جي ال اي|GLE
mercedes/gla,جي ال ايه|GLA
bmw/x1,اكس 1|إكس 1
bmw/x3,اكس 3|إكس 3
bmw/x5,اكس 5|إكس 5
byd/sealion-6,سيليون 6|سي ليون 6
byd/f3,اف 3|إف 3
changan/cs75-plus,سي اس 75
chevrolet/captiva,كابتيفا
chevrolet/optra,أوبترا|اوبترا
seat/ibiza,إبيزا|ابيزا
seat/arona,أرونا|ارونا
seat/leon,ليون
cupra/formentor,فورمنتور
cupra/terramar,تيرامار
baic/x7,
