model_id,trim,model_year,price_egp,source,source_date,drive_file_id,note
seat/ibiza,Edge,2027,1129000,SEAT Egypt price list (Kayan),2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6,
seat/ibiza,FR,2027,1329000,SEAT Egypt price list (Kayan),2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6,
seat/arona,Style Plus,2027,1329000,SEAT Egypt price list (Kayan),2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6,
seat/leon,Advance,2026,1499000,SEAT Egypt price list (Kayan),2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6,
cupra/leon,V1,2026,1849000,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD,
cupra/formentor,V1 1.5L,2026,2049000,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD,
cupra/formentor,VZ 2.0L,2026,2589000,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD,
cupra/terramar,Impulse,2026,2299000,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD,
cupra/terramar,Control,2026,2399000,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD,
mercedes/a-class,A 200 Saloon,2026,2390000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/b-class,B 200 Sports,2026,2350000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/cla,CLA 200 Coupé,2026,2930000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/gla,GLA 200,2026,2990000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/c-class,C 180 Avantgarde,2026,3100000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/c-class,C 180 Sport,2026,3650000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/c-class,C 200 Sport,2026,4100000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/c-class,C 43,2026,5800000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/glc,GLC 200,2026,4930000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/e-class,E 200,2026,4920000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/e-class,E 200 Exclusive,2026,5600000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/e-class,E 200 Sport,2026,5600000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/gle,GLE 450 4MATIC,2025,7090000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/gle,GLE 53 4MATIC+,2025,8100000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/gls,GLS 580 4MATIC,2025,9930000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/eqa,EQA 250+,2026,3300000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
mercedes/eqb,EQB 250+,2026,3420000,Mercedes-Benz Egypt retail price list (AGM),2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL,
