reg_brand,reg_model,model_id,note
Chery,Arizo5,chery/arrizo-5,spelling
Chery,Arizo6,chery/arrizo-6-gt,spelling
Chery,Arizo8,chery/arrizo-8,spelling
Chery,Tiggo4,chery/tiggo-4-pro,spelling; only Tiggo 4 variant priced
Mercedes,C-Class,mercedes/c-class,family
Mercedes,GLC,mercedes/glc,family
Mercedes,E-Class,mercedes/e-class,family
Mercedes,GLE,mercedes/gle,family
Mercedes,GLA,mercedes/gla,family
Mercedes,CLA,mercedes/cla,family
Mercedes,GLS,mercedes/gls,family
Mercedes,EQA,mercedes/eqa,family
Mercedes,A-Class,mercedes/a-class,family
Mitsubishi,Eclipse,mitsubishi/eclipse-cross,P2 accepted alias
Cubra,Terramar,cupra/terramar,brand spelling
Cubra,Formentor,cupra/formentor,brand spelling
Cubra,Leon,cupra/leon,brand spelling
Geely,Emegrand 7,geely/emgrand-7,spelling
Baic,BJ30e,baic/bj30,P2 accepted alias (powertrain suffix)
Jetour,X70 Plus,jetour/x70-plus-ckd,name
Jetour,T2 DM,jetour/t2,P2 accepted alias (powertrain suffix)
Renault,Megan,renault/megane,spelling
Toyota,Urban Cruise,toyota/urban-cruiser,spelling
ROX,1,rox/01,name
BYD,Sealion 06,byd/sealion-6,P2 accepted alias
BMW,3-Series,bmw/3-series,family
BMW,5-Series,bmw/5-series,family
Changan,CS75,changan/cs75-plus,name
Avatr,7,avatr/07,name
Lynk & Co,6,lynk-co/06,name
Lynk & Co,8,lynk-co/08,name
JAC,JS8,jac/js8-pro,name
Porche,Macan,porsche/macan,brand spelling
Porche,Cayenne,porsche/cayenne,brand spelling
Mini Coper,Countryman,mini/countryman,brand spelling
Suzuki,Dzire,suzuki/swift-dzire,name
Geely,GX3,geely/gx3-pro,name
Land Rover,Evoque,land-rover/range-rover-evoque,name
Dongfeng,8,dongfeng/008,name
Dongfeng,7,dongfeng/007,name
Soueast,S06DM,soueast/s-06,P2 accepted alias
Hyundai,Accent,hyundai/accent-rb,generation naming in registration
Hyundai,Elantra HD,hyundai/elantra,earlier generation of the same model
