brand_normalized,model_normalized,model_id,match_rule,confidence,note
Kia,Sportage,m_000001,exact,HIGH,
Hyundai,Tucson,m_000002,exact,HIGH,
Hyundai,Tucson NX4e,m_000002,generation-code suffix of same model name,MEDIUM,ContactCars lists it as a separate page with market-only 'Other Trims' rows; treated as same model (model level is canonical) - review
Volkswagen,Tiguan,m_000003,exact,HIGH,
Jetour,T2,m_000004,exact,HIGH,
Peugeot,3008,m_000005,exact,HIGH,
Nissan,Qashqai,m_000006,exact,HIGH,
Opel,Grandland,m_000007,exact,HIGH,
Opel,Grand Land,m_000007,case/space fold,HIGH,
Citroën,C5 Aircross,m_000008,exact,HIGH,
Jetour,T1,m_000009,exact,HIGH,
BYD,Song Plus,m_000010,exact,HIGH,
Chery,Tiggo 8 Pro Max,m_000011,exact,HIGH,
Renault,Austral,m_000012,exact,HIGH,
Soueast,S 09,m_000013,case/space fold,HIGH,
Peugeot,5008,m_000014,exact,HIGH,
Mitsubishi,Eclipse Cross,m_000015,exact,HIGH,
Kia,Seltos,m_000016,exact,HIGH,
KGM,Torres,m_000017,exact,HIGH,
BYD,Sealion 6,m_000018,exact,HIGH,
Soueast,S 06,m_000019,case/space fold,HIGH,
MG,HS,m_000020,exact,HIGH,
Deepal,S 05,m_000021,case/space fold,HIGH,
Haval,H7,m_000022,exact,HIGH,
Baic,BJ30,m_000023,exact,HIGH,
BYD,Song L DM-i,m_000024,exact,HIGH,
