attribute,source,spec_label,unit_as_stated,note
horsepower,ContactCars,Combined Maximum Power (HP @ RPM),hp/rpm,
horsepower,ContactCars,Maximum Power Output (hp),hp,
horsepower,Hatla2ee,Horse power,hp,
torque,ContactCars,Combined Maximum Torque (N.m @ RPM),Nm/rpm,
torque,Hatla2ee,Torque Of Newton,Nm,
engine_cc,ContactCars,Engine Capacity (CC),cc,
engine_cc,ContactCars,engineDisplacement,cc,JSON-LD
engine_cc,Hatla2ee,Power,cc,Hatla2ee labels displacement 'Power' (e.g. 1600)
powertrain,ContactCars,Powertrain Type,,
powertrain,ContactCars,fuelType,,JSON-LD
powertrain,Hatla2ee,Fuel Type,,
transmission,ContactCars,Transmission Technology,,
transmission,ContactCars,vehicleTransmission,,JSON-LD
transmission,Hatla2ee,Transmission,,
gears,ContactCars,Number of Gears,,
gears,Hatla2ee,Speeds,,
drivetrain,ContactCars,Drivetrain Type,,
drivetrain,Hatla2ee,Traction Type,,
fuel_consumption,ContactCars,Combined Fuel/Energy Consumption (Liter/100 KM),L/100km,
fuel_consumption,Hatla2ee,Consumption,L/100km (assumed by source label),
acceleration_0_100,Hatla2ee,Acceleration,s,
seats,ContactCars,Number of Seats,,
seats,Hatla2ee,Seats,,
length,ContactCars,Length (mm),mm,
length,Hatla2ee,Length,mm,
width,ContactCars,Width (mm),mm,
width,Hatla2ee,Width,mm,
height,ContactCars,Height (mm),mm,
height,Hatla2ee,Height,mm,
wheelbase,ContactCars,Wheelbase (mm),mm,
wheelbase,Hatla2ee,Wheel Base,mm,
ground_clearance,ContactCars,Ground Clearance (mm),mm,
ground_clearance,Hatla2ee,Ground Clearance,mm,
trunk,ContactCars,Rear Trunk Capacity (Liter),L,
trunk,Hatla2ee,Trunk Size,L,
fuel_tank,ContactCars,Fuel Tank Capacity (Litre),L,
fuel_tank,Hatla2ee,Fuel Tank Capacity,L,
battery_capacity,ContactCars,Battery Capacity (kWh),kWh,
battery_capacity,Hatla2ee,Battery Capacity,kWh,
electric_range,Hatla2ee,Range,km,
airbags,ContactCars,Airbag Count,,
euro_ncap,ContactCars,Euro NCAP Results,stars,
assembly_country,ContactCars,assembly_country,,JSON-LD 'manufacturer' field holds the assembly country
body_style,ContactCars,Body Style,,
body_style,Hatla2ee,Body Type,,
