item_type,model_id,detail,status
PRICE_CONFLICT,m_000002,"2027 blackdiamond: [2275000, 2300000] from ['contactcars', 'egycar', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000002,"2027 blaze: [1925000, 1950000] from ['contactcars', 'egycar', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000002,"2027 night: [2175000, 2200000] from ['contactcars', 'egycar', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000002,"2027 redline: [2025000, 2050000] from ['contactcars', 'egycar', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000002,"2027 redlinenpack: [2100000, 2125000] from ['contactcars', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000002,"2027 shadow: [1775000, 1800000] from ['contactcars', 'egycar', 'hatla2ee']",OPEN
DUPLICATE_ROWS_IN_SNAPSHOT,m_000003,"2025 rline hatla2ee official: S1_2026-09-25 [2350000] / S2_2026-09-25 [2350000, 2650000]",OPEN
PRICE_CONFLICT,m_000003,"2025 rline: [2350000, 2650000] from ['hatla2ee']",OPEN
REGISTRATION_ALIAS,m_000004,Jetour|T2 DM (powertrain suffix (DM) of same model name),ACCEPTED_PENDING_REVIEW
DUPLICATE_ROWS_IN_SNAPSHOT,m_000005,"2027 allure hatla2ee official: S1_2026-09-25 [2099990] / S2_2026-09-25 [2099990, 2199990]",OPEN
PRICE_CONFLICT,m_000005,"2027 allure: [2099990, 2199990] from ['hatla2ee']",OPEN
PRICE_CONFLICT,m_000008,"2026 shine: [1730000, 1850000] from ['contactcars', 'hatla2ee']",OPEN
PRICE_CONFLICT,m_000008,"2026 shineentry: [1590000, 1710000] from ['contactcars', 'hatla2ee']",OPEN
DUPLICATE_ROWS_IN_SNAPSHOT,m_000014,"2027 allure hatla2ee official: S1_2026-09-25 [2274990] / S2_2026-09-25 [2274990, 2424990]",OPEN
PRICE_CONFLICT,m_000014,"2027 allure: [2274990, 2424990] from ['hatla2ee']",OPEN
REGISTRATION_ALIAS,m_000015,Mitsubishi|Eclipse (prefix; only Mitsubishi model starting 'Eclipse' in any scrape or registration source),ACCEPTED_PENDING_REVIEW
REGISTRATION_ALIAS,m_000018,BYD|Sealion 06 (zero-padded number fold (06->6)),ACCEPTED_PENDING_REVIEW
REGISTRATION_ALIAS,m_000019,Soueast|S06DM (powertrain suffix (DM) of same model name),ACCEPTED_PENDING_REVIEW
REGISTRATION_ALIAS,m_000023,Baic|BJ30e (powertrain suffix (e) of same model name),ACCEPTED_PENDING_REVIEW
