source_url,row_label,official_cell,market_cell
https://www.contactcars.com/en/new-cars/byd-song_l_dm_i,BYD Song L DM-i 2025 Other Trims,,"1,860,000 EGP"
https://www.contactcars.com/en/new-cars/byd-song_plus,BYD Song Plus 2024 Other Trims,,"1,800,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C3 2025 Shine,,"1,260,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C4 X 2026 Feel,"1,199,000 EGP",
https://www.contactcars.com/en/new-cars/citroen,Citroen C4 X 2026 Shine,"1,349,000 EGP","1,380,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C4 Facelift 2026 Shine,"1,390,000 EGP",
https://www.contactcars.com/en/new-cars/citroen,Citroen C4 2026 Shine Two Tone,,"1,540,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C5 Aircross 2026 Shine Entry,"1,590,000 EGP","1,620,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C5 Aircross 2026 Shine,"1,730,000 EGP","1,740,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C5 Aircross 2025 Other Trims,,"1,180,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C5 2026 Other Trims,,"1,640,000 EGP"
https://www.contactcars.com/en/new-cars/citroen,Citroen C4 X 2024 Other Trims,,"1,440,000 EGP"
https://www.contactcars.com/en/new-cars/hyundai-tucson_nx4e,Hyundai Tucson NX4e 2026 Other Trims,,"1,820,000 EGP"
https://www.contactcars.com/en/new-cars/hyundai-tucson_nx4e,Hyundai Tucson NX4e 2027 Other Trims,,"1,960,000 EGP"
https://www.contactcars.com/en/new-cars/hyundai-tucson_nx4e,Hyundai Tucson NX4e 2025 Other Trims,,"2,200,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2024 1.6 A/T Turbo H/L,,"1,700,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2024 1.6 A/T Turbo X T/L,,"1,600,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2024 1.6 A/T T/L Plus,,"1,800,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2025 1.6 A/T T/L Plus,,"1,860,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2025 1.6 A/T Highline Plus,"1,949,990 EGP","2,000,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2025 1.6 A/T Topline,"2,049,990 EGP","2,060,000 EGP"
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2025 1.6 A/T Topline Plus,"2,199,990 EGP",
https://www.contactcars.com/en/new-cars/opel-grand_land,Opel Grand Land 2024 Other Trims,,"1,660,000 EGP"
