source,source_url,fetched_at,page_sha256,title_prefix,trim_raw,model_year,old_price,new_price,stated_change,effective_date
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / DM-i Ultra,2027,"1,824,900","1,949,900","125,000",2026-07-13
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / DM-i Luxury,2027,"2,024,900","2,149,900","125,000",2026-07-13
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / EV,2026,"1,624,900","1,749,900","125,000",2026-07-13
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / DM-i Luxury,2027,"1,949,900","2,024,900","75,000",2026-04-01
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / DM-i Ultra,2027,"1,749,900","1,824,900","75,000",2026-04-01
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:27:35 GMT",64e0323a1eb6d10da31844e524d50234df36dc16524def645d538ae9b845f381,Byd Sealion 6,A/T / EV,2026,"1,549,900","1,624,900","75,000",2026-04-01
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:27:37 GMT",ed81a30ecf65fb30ffedbfd9ab06a877f410528f1a87b60f8d9b7537b6b3f64f,Chery Tiggo 8 Pro Max,A/T / Luxury,2027,"1,590,000","1,620,000","30,000",2026-06-15
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:27:37 GMT",ed81a30ecf65fb30ffedbfd9ab06a877f410528f1a87b60f8d9b7537b6b3f64f,Chery Tiggo 8 Pro Max,A/T / Flagship,2027,"1,690,000","1,720,000","30,000",2026-06-15
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:27:37 GMT",ed81a30ecf65fb30ffedbfd9ab06a877f410528f1a87b60f8d9b7537b6b3f64f,Chery Tiggo 8 Pro Max,A/T / Flagship,2027,"1,590,000","1,690,000","100,000",2026-04-06
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:27:37 GMT",ed81a30ecf65fb30ffedbfd9ab06a877f410528f1a87b60f8d9b7537b6b3f64f,Chery Tiggo 8 Pro Max,A/T / Luxury,2027,"1,490,000","1,590,000","100,000",2026-04-06
