source,trim_url,fetched_at,page_sha256,brand,model,title,trim_raw,model_year,spec_id,spec_label,value,via
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Transmission,Transmission,DSG,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Body Type,Body Type,SUV,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Fuel Type,Fuel Type,gas,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Power,Power,1600,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Turbo,Turbo,Yes,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Speeds,Speeds,7,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Horse power,Horse power,197,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Fuel,Fuel,95,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Length,Length,"4,720",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Width,Width,"1,860",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Height,Height,"1,705",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Wheel Base,Wheel Base,2710,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Trunk Size,Trunk Size,117,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max/50729,"Fri, 25 Sep 2026 12:29:01 GMT",97603aade4600a0cc81112eb32ea38f0ca4b3b94ef01b89f1471fa7f368f6aa8,,,Chery Tiggo 8 Pro Max A/T / Luxury 2027 Prices & Features,,2027,h2:Seats,Seats,7,car-details
