model_id,slug,brand,model,in_slice,from_status,from_value,from_value_min,from_value_max,from_model_year,from_confidence,cohorts_priced,trims_in_conflict_latest_cohort,registrations_2025_09_to_2026_08,rank_in_slice,share_of_slice,yoy_last3,first_seen_month,registered_powertrains,gaps
m_000001,kia-sportage,Kia,Sportage,True,RESOLVED_RANGE,,1824900,1825000,2027,MEDIUM,"2025,2026,2027",0,6345,1,0.1562,-0.054,2021-02,ICE:6345,
m_000002,hyundai-tucson,Hyundai,Tucson,True,CONFLICT,,1775000,,2027,,"2025,2026,2027",6,5212,2,0.1283,-0.046,2021-02,ICE:5212,FROM_PRICE_IN_CONFLICT
m_000003,volkswagen-tiguan,Volkswagen,Tiguan,True,RESOLVED,2590000,,,2026,HIGH,"2025,2026",0,4280,3,0.1054,-0.088,2021-02,ICE:4280,
m_000004,jetour-t2,Jetour,T2,True,RESOLVED,1900000,,,2027,HIGH,2027,0,3720,4,0.0916,0.695,2024-10,ICE:3470;Hybrid:250,
m_000015,mitsubishi-eclipse-cross,Mitsubishi,Eclipse Cross,True,RESOLVED,1400000,,,2026,MEDIUM,2026,0,2269,5,0.0559,-0.306,2021-02,ICE:2269,UNRESOLVED_TRIMS_IN_PRICED_COHORT
m_000005,peugeot-3008,Peugeot,3008,True,RESOLVED,2099990,,,2027,HIGH,2027,0,1927,6,0.0474,-0.453,2021-02,ICE:1927,
m_000019,soueast-s06,Soueast,S06,True,RESOLVED,1350000,,,2027,HIGH,2027,0,1755,7,0.0432,,2025-07,ICE:1741;Hybrid:14,
m_000006,nissan-qashqai,Nissan,Qashqai,True,RESOLVED,1555000,,,2027,HIGH,2027,0,1694,8,0.0417,-0.37,2021-02,ICE:1694,
m_000007,opel-grandland,Opel,Grandland,True,RESOLVED_RANGE,,1849990,1850000,2026,MEDIUM,"2025,2026",0,1688,9,0.0416,-0.009,2021-02,ICE:1688,
m_000009,jetour-t1,Jetour,T1,True,RESOLVED,1730000,,,2027,HIGH,2027,0,1553,10,0.0382,1.072,2025-05,ICE:1553,
m_000023,baic-bj30,BAIC,BJ30,True,RESOLVED_RANGE,,1574900,1575000,2026,MEDIUM,2026,0,1528,11,0.0376,0.09,2024-11,Hybrid:1483;ICE:45,
m_000020,mg-hs,MG,HS,True,RESOLVED,1525000,,,2027,MEDIUM,"2026,2027",0,1338,12,0.0329,4.677,2021-02,ICE:1338,
m_000011,chery-tiggo-8-pro-max,Chery,Tiggo 8 Pro Max,True,RESOLVED,1620000,,,2027,MEDIUM,2027,0,1009,13,0.0248,,2025-07,ICE:1009,
m_000012,renault-austral,Renault,Austral,True,RESOLVED,1400000,,,2026,MEDIUM,2026,0,964,14,0.0237,0.055,2023-05,ICE:964,
m_000013,soueast-s09,Soueast,S09,True,RESOLVED,1600000,,,2027,HIGH,2027,0,914,15,0.0225,,2025-07,ICE:914,
m_000014,peugeot-5008,Peugeot,5008,True,RESOLVED,2274990,,,2027,MEDIUM,"2026,2027",0,906,16,0.0223,-0.048,2021-02,ICE:906,
m_000016,kia-seltos,Kia,Seltos,True,RESOLVED,1350000,,,2026,HIGH,"2025,2026",0,797,17,0.0196,0.802,2021-08,ICE:797,
m_000017,kgm-torres,KGM,Torres,True,RESOLVED,1585000,,,2026,MEDIUM,2026,0,793,18,0.0195,-0.566,2023-04,ICE:793,
m_000018,byd-sealion-6,BYD,Sealion 6,True,RESOLVED,1799000,,,2027,MEDIUM,"2026,2027",0,767,19,0.0189,,2025-11,BEV:455;Hybrid:312,SINGLE_SOURCE_MODEL
m_000021,deepal-s05,Deepal,S05,True,RESOLVED,1599000,,,2026,HIGH,2026,0,600,20,0.0148,,2025-09,REEV:600,
m_000022,haval-h7,Haval,H7,True,RESOLVED,1725000,,,2027,MEDIUM,"2026,2027",0,553,21,0.0136,,2025-10,Hybrid:553,
m_000010,byd-song-plus,BYD,Song Plus,False,NONE,,,,,,,,1099,,,-0.631,2023-06,BEV:1099,PRICE_RULE_NOT_MET;NO_OFFICIAL_PRICE;SINGLE_SOURCE_MODEL
m_000008,citroen-c5-aircross,Citroën,C5 Aircross,False,RESOLVED,1695000,,,2027,HIGH,"2026,2027",0,,,,,,,REGISTRATION_UNLINKED
m_000024,byd-song-l-dm-i,BYD,Song L DM-i,False,NONE,,,,,,,,,,,,,,PRICE_RULE_NOT_MET;REGISTRATION_UNLINKED;NO_OFFICIAL_PRICE;SINGLE_SOURCE_MODEL
