model_id,model_year,trim_key,source,price_type,change,prev_snapshot,prev_value,prev_status,latest_snapshot,latest_value,latest_status,delta_egp,series
m_000001,2026,ex,contactcars,market,UNCHANGED,S4_2026-09-25,1900000,OK,S5_2026-09-25,1900000,OK,,S0_2026-09-10=2120000 S1_2026-09-25=1900000 S2_2026-09-25=1900000 S3_2026-09-25=1900000 S4_2026-09-25=1900000 S5_2026-09-25=1900000
m_000001,2026,gtline,contactcars,market,UNCHANGED,S4_2026-09-25,2375000,OK,S5_2026-09-25,2375000,OK,,S0_2026-09-10=2375000 S1_2026-09-25=2375000 S2_2026-09-25=2375000 S3_2026-09-25=2375000 S4_2026-09-25=2375000 S5_2026-09-25=2375000
m_000001,2026,highline,contactcars,market,UNCHANGED,S4_2026-09-25,2360000,OK,S5_2026-09-25,2360000,OK,,S0_2026-09-10=2340000 S1_2026-09-25=2360000 S2_2026-09-25=2360000 S3_2026-09-25=2360000 S4_2026-09-25=2360000 S5_2026-09-25=2360000
m_000001,2026,lx,contactcars,market,UNCHANGED,S4_2026-09-25,1820000,OK,S5_2026-09-25,1820000,OK,,S0_2026-09-10=2040000 S1_2026-09-25=1820000 S2_2026-09-25=1820000 S3_2026-09-25=1820000 S4_2026-09-25=1820000 S5_2026-09-25=1820000
m_000001,2026,premium,contactcars,market,UNCHANGED,S4_2026-09-25,2275000,OK,S5_2026-09-25,2275000,OK,,S0_2026-09-10=2275000 S1_2026-09-25=2275000 S2_2026-09-25=2275000 S3_2026-09-25=2275000 S4_2026-09-25=2275000 S5_2026-09-25=2275000
m_000001,2027,ex,contactcars,market,UNCHANGED,S4_2026-09-25,1960000,OK,S5_2026-09-25,1960000,OK,,S0_2026-09-10=1980000 S1_2026-09-25=1960000 S2_2026-09-25=1960000 S3_2026-09-25=1960000 S4_2026-09-25=1960000 S5_2026-09-25=1960000
m_000001,2027,gtline,contactcars,market,UNCHANGED,S4_2026-09-25,2460000,OK,S5_2026-09-25,2460000,OK,,S0_2026-09-10=2460000 S1_2026-09-25=2460000 S2_2026-09-25=2460000 S3_2026-09-25=2460000 S4_2026-09-25=2460000 S5_2026-09-25=2460000
m_000001,2027,highline,contactcars,market,UNCHANGED,S4_2026-09-25,2100000,OK,S5_2026-09-25,2100000,OK,,S0_2026-09-10=2100000 S1_2026-09-25=2100000 S2_2026-09-25=2100000 S3_2026-09-25=2100000 S4_2026-09-25=2100000 S5_2026-09-25=2100000
m_000001,2027,lx,contactcars,market,UNCHANGED,S4_2026-09-25,1880000,OK,S5_2026-09-25,1880000,OK,,S0_2026-09-10=1880000 S1_2026-09-25=1880000 S2_2026-09-25=1880000 S3_2026-09-25=1880000 S4_2026-09-25=1880000 S5_2026-09-25=1880000
m_000001,2027,premium,contactcars,market,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
