model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000001,2026,ex,contactcars,market,CHANGED,2120000,OK,1900000,OK,-220000
m_000001,2026,gtline,contactcars,market,UNCHANGED,2375000,OK,2375000,OK,
m_000001,2026,highline,contactcars,market,CHANGED,2340000,OK,2360000,OK,20000
m_000001,2026,lx,contactcars,market,CHANGED,2040000,OK,1820000,OK,-220000
m_000001,2026,premium,contactcars,market,UNCHANGED,2275000,OK,2275000,OK,
m_000001,2027,ex,contactcars,market,CHANGED,1980000,OK,1960000,OK,-20000
m_000001,2027,gtline,contactcars,market,UNCHANGED,2460000,OK,2460000,OK,
m_000001,2027,highline,contactcars,market,UNCHANGED,2100000,OK,2100000,OK,
m_000001,2027,lx,contactcars,market,UNCHANGED,1880000,OK,1880000,OK,
m_000001,2027,premium,contactcars,market,UNCHANGED,2300000,OK,2300000,OK,
m_000001,2026,ex,contactcars,official,UNCHANGED,1900000,OK,1900000,OK,
m_000001,2026,gtline,contactcars,official,UNCHANGED,2375000,OK,2375000,OK,
m_000001,2026,highline,contactcars,official,UNCHANGED,2050000,OK,2050000,OK,
m_000001,2026,lx,contactcars,official,UNCHANGED,1800000,OK,1800000,OK,
m_000001,2026,premium,contactcars,official,UNCHANGED,2275000,OK,2275000,OK,
m_000001,2027,ex,contactcars,official,UNCHANGED,1924900,OK,1924900,OK,
m_000001,2027,gtline,contactcars,official,UNCHANGED,2399900,OK,2399900,OK,
m_000001,2027,highline,contactcars,official,UNCHANGED,2074900,OK,2074900,OK,
m_000001,2027,lx,contactcars,official,UNCHANGED,1824900,OK,1824900,OK,
m_000001,2027,premium,contactcars,official,UNCHANGED,2299900,OK,2299900,OK,
m_000001,,ex,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000001,,gtline,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000001,,highline,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000001,,lx,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000001,,premium,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000001,,ex,egycar,official,UNCHANGED,1925000,OK,1925000,OK,
m_000001,,gtline,egycar,official,UNCHANGED,2400000,OK,2400000,OK,
m_000001,,highline,egycar,official,UNCHANGED,2075000,OK,2075000,OK,
m_000001,,lx,egycar,official,UNCHANGED,1825000,OK,1825000,OK,
m_000001,,premium,egycar,official,UNCHANGED,2300000,OK,2300000,OK,
m_000001,2025,ex,hatla2ee,market,UNCHANGED,1919900,OK,1919900,OK,
m_000001,2025,gtline,hatla2ee,market,UNCHANGED,2274900,OK,2274900,OK,
m_000001,2025,highline,hatla2ee,market,UNCHANGED,2024900,OK,2024900,OK,
m_000001,2025,lx,hatla2ee,market,UNCHANGED,1799900,OK,1799900,OK,
m_000001,2025,topline,hatla2ee,market,UNCHANGED,2149900,OK,2149900,OK,
m_000001,2027,ex,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000001,2027,gtline,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000001,2027,highline,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000001,2027,lx,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
