entity,canonical_id,canonical_display,alias_raw,match_key,occurrences,origin,method
brand,aito,AITO,AITO,aito,2,master+candidates,exact_normalized
brand,alfa-romeo,Alfa Romeo,Alfa Romeo,alfaromeo,19,master+candidates,exact_normalized
brand,arcfox,Arcfox,Arcfox,arcfox,20,master+candidates,exact_normalized
brand,audi,Audi,Audi,audi,93,master+candidates,exact_normalized
brand,avatr,Avatr,Avatr,avatr,20,master+candidates,exact_normalized
brand,baic,Baic,Baic,baic,23,master+candidates,exact_normalized
brand,bak,BAK,BAK,bak,2,master+candidates,exact_normalized
brand,baw,BAW,BAW,baw,5,master+candidates,exact_normalized
brand,bestune,Bestune,Bestune,bestune,8,master+candidates,exact_normalized
brand,bmw,BMW,BMW,bmw,77,master+candidates,exact_normalized
brand,byd,BYD,BYD,byd,45,master+candidates,exact_normalized
brand,cadillac,Cadillac,Cadillac,cadillac,13,master+candidates,exact_normalized
brand,changan,Changan,Changan,changan,28,master+candidates,exact_normalized
brand,chery,Chery,Chery,chery,60,master+candidates,exact_normalized
brand,chevrolet,Chevrolet,Chevrolet,chevrolet,32,master+candidates,exact_normalized
brand,citroen,Citroën,Citroën,citroen,23,master+candidates,exact_normalized
brand,cupra,Cupra,Cupra,cupra,11,master+candidates,exact_normalized
brand,deepal,Deepal,Deepal,deepal,9,master+candidates,exact_normalized
brand,dfsk,Dfsk,Dfsk,dfsk,15,master+candidates,exact_normalized
brand,dodge,Dodge,Dodge,dodge,2,master+candidates,exact_normalized
brand,dongfeng,Dongfeng,Dongfeng,dongfeng,18,master+candidates,exact_normalized
brand,dongfeng-aeolus,Dongfeng Aeolus,Dongfeng Aeolus,dongfengaeolus,4,master+candidates,exact_normalized
brand,ds,Ds,Ds,ds,6,master+candidates,exact_normalized
brand,exeed,Exeed,Exeed,exeed,26,master+candidates,exact_normalized
brand,fiat,Fiat,Fiat,fiat,10,master+candidates,exact_normalized
brand,ford,Ford,Ford,ford,2,master+candidates,exact_normalized
brand,forthing,Forthing,Forthing,forthing,15,master+candidates,exact_normalized
brand,gac,GAC,GAC,gac,38,master+candidates,exact_normalized
brand,geely,Geely,Geely,geely,50,master+candidates,exact_normalized
brand,genesis,Genesis,Genesis,genesis,20,master+candidates,exact_normalized
brand,gmc,GMC,GMC,gmc,6,master+candidates,exact_normalized
brand,golf-car,Golf Car,Golf Car,golfcar,2,master+candidates,exact_normalized
brand,haval,Haval,Haval,haval,18,master+candidates,exact_normalized
brand,honda,Honda,Honda,honda,20,master+candidates,exact_normalized
brand,hongqi,Hongqi,Hongqi,hongqi,17,master+candidates,exact_normalized
brand,hummer,Hummer,Hummer,hummer,2,master+candidates,exact_normalized
brand,hyundai,Hyundai,Hyundai,hyundai,125,master+candidates,exact_normalized
brand,icaur,iCAUR,iCAUR,icaur,6,master+candidates,exact_normalized
brand,im,IM,IM,im,12,master+candidates,exact_normalized
brand,isuzu,Isuzu,Isuzu,isuzu,2,master+candidates,exact_normalized
brand,jac,JAC,JAC,jac,2,master+candidates,exact_normalized
brand,jac,JAC,Jac,jac,12,master+candidates,exact_normalized
brand,jaecoo,Jaecoo,Jaecoo,jaecoo,2,master+candidates,exact_normalized
brand,jaguar,Jaguar,Jaguar,jaguar,9,master+candidates,exact_normalized
brand,jeep,Jeep,Jeep,jeep,5,master+candidates,exact_normalized
brand,jetour,Jetour,Jetour,jetour,23,master+candidates,exact_normalized
brand,jmc,JMC,JMC,jmc,2,master+candidates,exact_normalized
brand,kaiyi,Kaiyi,Kaiyi,kaiyi,12,master+candidates,exact_normalized
brand,kgm,KGM,KGM,kgm,9,master+candidates,exact_normalized
brand,kia,Kia,Kia,kia,76,master+candidates,exact_normalized
brand,kyc,KYC,KYC,kyc,2,master+candidates,exact_normalized
