candidate_fingerprint,candidate_line,brand_raw,model_raw,model_year_raw,trim_raw,status_raw,brand_id,model_ids,method,review_id
a3c6d1f5d6f3,2,Toyota,Corolla,2026,Active,MATCH,toyota,toyota/corolla,exact_normalized,
72130c097c0e,3,Toyota,Corolla,2026,Comfort,MATCH,toyota,toyota/corolla,exact_normalized,
357a19d98ab3,4,Toyota,Corolla,2026,Smart,MATCH,toyota,toyota/corolla,exact_normalized,
0f275456a7ab,5,Toyota,Corolla,2026,Smart with Sunroof,MATCH,toyota,toyota/corolla,exact_normalized,
88d1213b0676,6,Toyota,Corolla,2026,Elegance,MATCH,toyota,toyota/corolla,exact_normalized,
309bae6f66d2,7,Toyota,Corolla,2026,Hybrid,SINGLE_SOURCE / UNVERIFIED,toyota,toyota/corolla,exact_normalized,
e286e906b7ef,8,Toyota,Corolla,2026,GR,SINGLE_SOURCE / MODEL_DISCOVERY,toyota,toyota/corolla,exact_normalized,
05f3c502529e,9,Toyota,Fortuner,2026,Sport 4.0 4WD,CONFIRMED_MATCH_ALL_SOURCES,toyota,toyota/fortuner,exact_normalized,
9cb932f500d7,10,Toyota,Hilux,2026,Single Cab (Manual),CONFIRMED_MATCH_ALL_SOURCES,toyota,toyota/hilux,exact_normalized,
4aa8245c73b1,11,Toyota,Urban Cruiser,2026,Active,CONFIRMED_MATCH_ALL_SOURCES,toyota,toyota/urban-cruiser,exact_normalized,
4ea1e233d61f,12,Toyota,Urban Cruiser,2026,Comfort,CONFIRMED_MATCH_ALL_SOURCES,toyota,toyota/urban-cruiser,exact_normalized,
db100c3ee495,13,Toyota,bZ4X,2026,Sport/Sport FWD,PRICE_CONFLICT,toyota,toyota/bz4x,exact_normalized,
2dec094c3d00,14,Toyota,bZ4X,2026,Premier/Premier AWD,CONFIRMED_MATCH_ALL_SOURCES,toyota,toyota/bz4x,exact_normalized,
9ab27b37d3d5,15,Toyota,Land Cruiser,2026,Unspecified (parallel import),SINGLE_SOURCE / NO_OFFICIAL_LISTING,toyota,toyota/land-cruiser,exact_normalized,
fead8bbd44d7,16,Toyota,Hiace,2026,Unspecified,SINGLE_SOURCE / NO_OFFICIAL_LISTING,toyota,toyota/hiace,exact_normalized,
3168e37d8294,17,Toyota,Tamaraw,2025,Unspecified,SINGLE_SOURCE / NO_OFFICIAL_LISTING,toyota,toyota/tamaraw,exact_normalized,
cb1c44eeb300,18,Hyundai,Tucson,2026 (ContactCars-labeled cohort),SHADOW..NLINE (7 trims),SINGLE_SOURCE_FOR_THIS_COHORT,hyundai,hyundai/tucson,exact_normalized,
9227ba7c1655,19,Hyundai,Tucson,2027,SHADOW..NLINE (7 trims),MATCH (confirmed per-trim),hyundai,hyundai/tucson,exact_normalized,
3cd344a69e85,20,Hyundai,Tucson,2027 (Hatla2ee-labeled cohort),SHADOW..N-Line (7 trims),PRICE_CONFLICT,hyundai,hyundai/tucson,exact_normalized,
1303b72b645b,21,Hyundai,Tucson,2025 (older cohort),SHADOW..N-Line (6 trims),SINGLE_SOURCE / MODEL_DISCOVERY,hyundai,hyundai/tucson,exact_normalized,
78cc9a781a81,22,Hyundai,i30,2026,Blaze/Redline/NLine Hatchback+Fastback (6 shared trims),MATCH,hyundai,hyundai/i30,exact_normalized,
43e01a9662bf,23,Hyundai,Elantra AD,2026 (ContactCars-detailed),Baseline/Modern/Topline (4 trims),SINGLE_SOURCE_FOR_THIS_COHORT,hyundai,hyundai/elantra-ad,exact_normalized,
c43561d0f5ae,24,Hyundai,Elantra AD,2027,Baseline/Modern/Topline (4 trims),MATCH (confirmed per-trim),hyundai,hyundai/elantra-ad,exact_normalized,
25141c6a34b9,25,Kia,Sportage,2026 (ContactCars-detailed),LX..GT Line (5 trims),SINGLE_SOURCE_FOR_THIS_COHORT,kia,kia/sportage,exact_normalized,
59a218d57478,26,Kia,Sportage,2027,LX..GT Line (5 trims),"PRICE_CONFLICT (confirmed, small but real)",kia,kia/sportage,exact_normalized,
2b079c19e303,27,Kia,Sportage,2025 (older cohort),LX..GT-Line (5 trims),SINGLE_SOURCE / MODEL_DISCOVERY,kia,kia/sportage,exact_normalized,
a89f6437a80e,28,Kia,Seltos,2026,EX/Highline Turbo/Topline Turbo,MATCH,kia,kia/seltos,exact_normalized,
eec5dd850096,29,Kia,Grand Cerato,2024,1.6 A/T LX FO (etc.),PRICE_CONFLICT (within same source),kia,kia/grand-cerato,exact_normalized,
9a90e8d7295a,30,Chevrolet,Optra,2026,LS/LT,SINGLE_SOURCE_FOR_THIS_COHORT,chevrolet,chevrolet/optra,exact_normalized,
c97ca43b1cfe,31,Chevrolet,Optra,2027,LS/LT,MATCH,chevrolet,chevrolet/optra,exact_normalized,
