row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
f61b3d51a708,2,ContactCars,Toyota,Corolla,Active,2026,toyota,toyota/corolla,exact_normalized,active,no
136909c63147,3,ContactCars,Toyota,Corolla,Comfort,2026,toyota,toyota/corolla,exact_normalized,comfort,no
b36869993f15,4,ContactCars,Toyota,Corolla,Smart,2026,toyota,toyota/corolla,exact_normalized,smart,no
ae6ea98bcce3,5,ContactCars,Toyota,Corolla,Smart with Sunroof,2026,toyota,toyota/corolla,exact_normalized,smartsunroof,no
247590a9684b,6,ContactCars,Toyota,Corolla,Elegance,2026,toyota,toyota/corolla,exact_normalized,elegance,no
2a1c6790ce10,7,ContactCars,Toyota,Corolla,Hybrid,2026,toyota,toyota/corolla,exact_normalized,hybrid,no
c9ece00e4367,8,EgyCar,Toyota,Corolla,Active,2026,toyota,toyota/corolla,exact_normalized,active,no
ba7e96b29d16,9,EgyCar,Toyota,Corolla,Comfort,2026,toyota,toyota/corolla,exact_normalized,comfort,no
eb780b559bd5,10,EgyCar,Toyota,Corolla,Smart,2026,toyota,toyota/corolla,exact_normalized,smart,no
9ab1cbf80553,11,EgyCar,Toyota,Corolla,Smart + Sunroof,2026,toyota,toyota/corolla,exact_normalized,smartsunroof,no
cc55e788f914,12,EgyCar,Toyota,Corolla,Elegance,2026,toyota,toyota/corolla,exact_normalized,elegance,no
e3e98197f5a5,13,Hatla2ee,Toyota,Corolla,Active,2026,toyota,toyota/corolla,exact_normalized,active,no
394e9520ecd4,14,Hatla2ee,Toyota,Corolla,Comfort,2026,toyota,toyota/corolla,exact_normalized,comfort,no
09d6b0370df4,15,Hatla2ee,Toyota,Corolla,SMART,2026,toyota,toyota/corolla,exact_normalized,smart,no
f57f22b2efa8,16,Hatla2ee,Toyota,Corolla,SMART / Sun Roof,2026,toyota,toyota/corolla,exact_normalized,smartsunroof,no
a0d71604c770,17,Hatla2ee,Toyota,Corolla,Elegance,2026,toyota,toyota/corolla,exact_normalized,elegance,no
90e2594711fc,18,Official-ToyotaEgypt,Toyota,Corolla,Active,2026,toyota,toyota/corolla,exact_normalized,active,no
b3669210a430,19,Official-ToyotaEgypt,Toyota,Corolla,Comfort,2026,toyota,toyota/corolla,exact_normalized,comfort,no
e25ad09dc1ea,20,Official-ToyotaEgypt,Toyota,Corolla,Smart,2026,toyota,toyota/corolla,exact_normalized,smart,no
83725d5d545a,21,Official-ToyotaEgypt,Toyota,Corolla,Smart with Sunroof,2026,toyota,toyota/corolla,exact_normalized,smartsunroof,no
61a488ece010,22,Official-ToyotaEgypt,Toyota,Corolla,Elegance,2026,toyota,toyota/corolla,exact_normalized,elegance,no
87ce7444a339,23,YallaMotor,Toyota,Corolla,Active M/T,2026,toyota,toyota/corolla,exact_normalized,activemt,no
101e99762822,24,YallaMotor,Toyota,Corolla,Active,2026,toyota,toyota/corolla,exact_normalized,active,no
4c9002c9ac7d,25,YallaMotor,Toyota,Corolla,Smart w/ Sunroof,2026,toyota,toyota/corolla,exact_normalized,smartsunroof,no
550245be31f1,26,YallaMotor,Toyota,Corolla,Elegance,2026,toyota,toyota/corolla,exact_normalized,elegance,no
db83f9462c3f,27,YallaMotor,Toyota,Corolla,Comfort,2026,toyota,toyota/corolla,exact_normalized,comfort,no
4c9d373959af,28,YallaMotor,Toyota,Corolla,Smart,2026,toyota,toyota/corolla,exact_normalized,smart,no
119e1b800a9e,29,YallaMotor,Toyota,Corolla,GR,2026,toyota,toyota/corolla,exact_normalized,gr,no
7b519734f473,30,YallaMotor(classified),Toyota,Corolla,1.6L (various),2026,toyota,toyota/corolla,exact_normalized,16lvarious,no
f821b4ef4d71,31,YallaMotor(classified),Toyota,Corolla,1.8L Elegance (Hybrid),2026,toyota,toyota/corolla,exact_normalized,18lelegancehybrid,no
7a05b5a1bd7a,32,ContactCars,Toyota,Fortuner,Sport 4.0 4WD,2026,toyota,toyota/fortuner,exact_normalized,sport404wd,no
18953abbaae7,33,EgyCar,Toyota,Fortuner,Sport,2026 (page title says 2025 - inconsistency),toyota,toyota/fortuner,exact_normalized,sport,no
f44226cf879a,34,ContactCars,Toyota,Hilux,Single Cab,2026,toyota,toyota/hilux,exact_normalized,singlecab,no
214bcc368dbb,35,ContactCars(classified),Toyota,Land Cruiser,Unspecified,2026,toyota,toyota/land-cruiser,exact_normalized,unspecified,no
b8692ad2bbde,36,ContactCars(classified),Toyota,Hiace,Unspecified,2026,toyota,toyota/hiace,exact_normalized,unspecified,no
cd6954ba79f0,37,ContactCars(classified),Toyota,Tamaraw,Unspecified,2025,toyota,toyota/tamaraw,exact_normalized,unspecified,no
1b10ed6ca2e9,38,ContactCars,Toyota,Urban Cruiser,1.5 A/T Active,2026,toyota,toyota/urban-cruiser,exact_normalized,15atactive,no
2c4d853e1161,39,ContactCars,Toyota,Urban Cruiser,1.5 A/T Comfort,2026,toyota,toyota/urban-cruiser,exact_normalized,15atcomfort,no
7b3f0de65ddc,40,ContactCars,Toyota,bZ4X,Sport FWD,2026,toyota,toyota/bz4x,exact_normalized,sportfwd,no
bfda69f497f0,41,ContactCars,Toyota,bZ4X,Premier AWD,2026,toyota,toyota/bz4x,exact_normalized,premierawd,no
d1bad18aaa6f,42,EgyCar,Toyota,bZ4X,Sport FWD,2026,toyota,toyota/bz4x,exact_normalized,sportfwd,no
1b0d736f5714,43,EgyCar,Toyota,bZ4X,Premier AWD,2026,toyota,toyota/bz4x,exact_normalized,premierawd,no
7829ea26615f,44,Hatla2ee,Toyota,Fortuner,Sport 4.0 4WD,2026,toyota,toyota/fortuner,exact_normalized,sport404wd,no
54316b618527,45,Hatla2ee,Toyota,Hilux,Single Cab (Manual),2026,toyota,toyota/hilux,exact_normalized,singlecabmanual,no
56f09fa24990,46,Hatla2ee,Toyota,Urban Cruiser,Active,2026,toyota,toyota/urban-cruiser,exact_normalized,active,no
a459301c109e,47,Hatla2ee,Toyota,Urban Cruiser,Comfort,2026,toyota,toyota/urban-cruiser,exact_normalized,comfort,no
550efd3c138a,48,Hatla2ee,Toyota,bZ4X,Sport,2026,toyota,toyota/bz4x,exact_normalized,sport,no
e76cbf1fd121,49,Hatla2ee,Toyota,bZ4X,Premier,2026,toyota,toyota/bz4x,exact_normalized,premier,no
9719a15482b1,50,ContactCars,Skoda,Octavia,Selection Loft,2026,skoda,skoda/octavia,exact_normalized,selectionloft,no
c7763ef29ebc,51,ContactCars,Skoda,Octavia,Selection Lounge,2026,skoda,skoda/octavia,exact_normalized,selectionlounge,no
55619ac429df,52,ContactCars,Skoda,Octavia,Selection Suite,2026,skoda,skoda/octavia,exact_normalized,selectionsuite,no
4befaf02446d,53,ContactCars,Skoda,KAROQ,Selection Suite,2026,skoda,skoda/karoq,exact_normalized,selectionsuite,no
f94c013f0270,54,ContactCars,Skoda,Superb,Selection Suite 1.5,2026,skoda,skoda/superb,exact_normalized,selectionsuite15,no
2d2ba67aa51b,55,ContactCars,Skoda,Superb,L&K 1.5,2026,skoda,skoda/superb,exact_normalized,lk15,no
